cod.,Country,Code,Year,Cellular Subscription C/100,Internet Users(%),No. of Internet Users,Broadband Subscription
2618,European Union,Region,1992,"0,99","27,1839%",0,"0,0000"
2619,European Union,Region,1993,"1,49","41,5061%",0,"0,0000"
2620,European Union,Region,1994,"2,37","78,5199%",0,"0,0000"
2621,European Union,Region,1995,"3,85","151,4689%",0,"0,0000"
2622,European Union,Region,1996,"6,50","262,4623%",0,"0,0000"
2623,European Union,Region,1997,"11,07","480,2361%",0,"0,0000"
2624,European Union,Region,1998,"19,01","769,3032%",0,"0,0000"
2625,European Union,Region,1999,"32,37","1362,7860%",0,"0,0000"
2626,European Union,Region,2000,"51,05","1964,7169%",0,"0,5017"
2627,European Union,Region,2001,"63,28","2413,8994%",0,"1,5089"
2628,European Union,Region,2002,"69,65","3212,8262%",0,"2,8744"
2629,European Union,Region,2003,"76,51","3860,7796%",0,"4,7521"
2630,European Union,Region,2004,"84,55","4418,7309%",0,"7,8425"
2631,European Union,Region,2005,"94,61","4830,1945%",0,"11,5359"
2632,European Union,Region,2006,"104,27","5255,0205%",0,"15,7622"
2633,European Union,Region,2007,"115,23","5824,9104%",0,"19,6163"
2634,European Union,Region,2008,"121,30","6225,0095%",0,"22,0922"
2635,European Union,Region,2009,"121,05","6499,2836%",0,"24,2782"
2636,European Union,Region,2010,"118,48","6869,5641%",0,"25,8714"
2637,European Union,Region,2011,"121,67","6966,1781%",0,"27,3013"
2638,European Union,Region,2012,"123,70","7185,7452%",0,"28,1891"
2639,European Union,Region,2013,"125,04","7361,0367%",0,"29,2455"
2640,European Union,Region,2014,"123,61","7518,5501%",0,"30,3547"
2641,European Union,Region,2015,"121,82","7565,4419%",0,"31,4496"
2642,European Union,Region,2016,"122,15","7689,7179%",0,"32,5528"
2643,European Union,Region,2017,"122,49","7868,3815%",0,"33,7685"
2644,European Union,Region,2018,"121,89","8173,8373%",0,"34,7327"
2645,European Union,Region,2019,"121,81","8384,4215%",0,"35,6310"
2646,European Union,Region,2020,"121,49","8474,3477%",0,"36,7973"
2647,Faeroe Islands,FRO,1980,"0,00","0,0000%",0,"0,0000"
2648,Faeroe Islands,FRO,1981,"0,00","0,0000%",0,"0,0000"
2649,Faeroe Islands,FRO,1982,"0,00","0,0000%",0,"0,0000"
2650,Faeroe Islands,FRO,1983,"0,00","0,0000%",0,"0,0000"
2651,Faeroe Islands,FRO,1984,"0,00","0,0000%",0,"0,0000"
2652,Faeroe Islands,FRO,1985,"0,00","0,0000%",0,"0,0000"
2653,Faeroe Islands,FRO,1986,"0,00","0,0000%",0,"0,0000"
2654,Faeroe Islands,FRO,1987,"0,00","0,0000%",0,"0,0000"
2655,Faeroe Islands,FRO,1988,"0,00","0,0000%",0,"0,0000"
2656,Faeroe Islands,FRO,1990,"0,00","0,0000%",0,"0,0000"
2657,Faeroe Islands,FRO,1991,"3,03","0,0000%",0,"0,0000"
2658,Faeroe Islands,FRO,1992,"3,68","0,0000%",0,"0,0000"
2659,Faeroe Islands,FRO,1993,"3,47","0,0000%",0,"0,0000"
2660,Faeroe Islands,FRO,1994,"4,27","0,0000%",0,"0,0000"
2661,Faeroe Islands,FRO,1995,"5,61","0,0000%",0,"0,0000"
2662,Faeroe Islands,FRO,1996,"7,16","231,8787%",1.024,"0,0000"
2663,Faeroe Islands,FRO,1997,"10,27","460,1297%",2.048,"0,0000"
2664,Faeroe Islands,FRO,1998,"14,14","1133,7869%",5.090,"0,0000"
2665,Faeroe Islands,FRO,1999,"23,17","2229,7539%",10.085,"0,0000"
2666,Faeroe Islands,FRO,2000,"36,31","3291,6393%",15.038,"0,0000"
2667,Faeroe Islands,FRO,2001,"52,10","4324,6983%",20.011,"0,1149"
2668,Faeroe Islands,FRO,2002,"73,54","5329,9221%",24.964,"0,2414"
2669,Faeroe Islands,FRO,2003,"80,17","5891,2640%",27.934,"0,8307"
2670,Faeroe Islands,FRO,2004,"86,76","6653,3600%",31.941,"6,5840"
2671,Faeroe Islands,FRO,2005,"88,08","6790,2634%",32.807,"12,2962"
2672,Faeroe Islands,FRO,2006,"104,55","6935,9444%",33.527,"27,4690"
2673,Faeroe Islands,FRO,2007,"109,08","7598,0003%",36.761,"30,2415"
2674,Faeroe Islands,FRO,2008,"114,72","7557,0000%",36.605,"31,1125"
2675,Faeroe Islands,FRO,2009,"119,21","7518,0000%",36.428,"33,2204"
2676,Faeroe Islands,FRO,2010,"124,33","7519,9997%",36.421,"33,8374"
2677,Faeroe Islands,FRO,2011,"122,27","8073,2170%",39.083,"33,5759"
2678,Faeroe Islands,FRO,2012,"122,74","8533,5190%",41.311,"34,1199"
2679,Faeroe Islands,FRO,2013,"120,59","9000,0000%",43.600,"34,8701"
2680,Faeroe Islands,FRO,2014,"121,52","9330,0003%",45.245,"36,2031"
2681,Faeroe Islands,FRO,2015,"110,74","9419,9997%",46.015,"37,0273"
2682,Faeroe Islands,FRO,2016,"113,11","9510,8681%",47.101,"37,3093"
2683,Faeroe Islands,FRO,2017,"117,15","9758,1963%",49.044,"37,3280"
2684,Faeroe Islands,FRO,2018,"117,10","0,0000%",0,"37,4889"
2685,Faeroe Islands,FRO,2019,"112,90","0,0000%",0,"37,3475"
2686,Faeroe Islands,FRO,2020,"121,18","0,0000%",0,"37,7443"
2687,Fiji,FJI,1980,"0,00","0,0000%",0,"0,0000"
2688,Fiji,FJI,1981,"0,00","0,0000%",0,"0,0000"
2689,Fiji,FJI,1982,"0,00","0,0000%",0,"0,0000"
2690,Fiji,FJI,1983,"0,00","0,0000%",0,"0,0000"
2691,Fiji,FJI,1984,"0,00","0,0000%",0,"0,0000"
2692,Fiji,FJI,1985,"0,00","0,0000%",0,"0,0000"
2693,Fiji,FJI,1986,"0,00","0,0000%",0,"0,0000"
2694,Fiji,FJI,1987,"0,00","0,0000%",0,"0,0000"
2695,Fiji,FJI,1988,"0,00","0,0000%",0,"0,0000"
2696,Fiji,FJI,1989,"0,00","0,0000%",0,"0,0000"
2697,Fiji,FJI,1990,"0,00","0,0000%",0,"0,0000"
2698,Fiji,FJI,1991,"0,00","0,0000%",0,"0,0000"
2699,Fiji,FJI,1992,"0,00","0,0000%",0,"0,0000"
2700,Fiji,FJI,1993,"0,00","0,6678%",53,"0,0000"
2701,Fiji,FJI,1994,"0,14","0,7907%",63,"0,0000"
2702,Fiji,FJI,1995,"0,28","0,9115%",72,"0,0000"
2703,Fiji,FJI,1996,"0,47","6,4437%",513,"0,0000"
2704,Fiji,FJI,1997,"0,66","22,3455%",1.798,"0,0000"
2705,Fiji,FJI,1998,"1,00","63,3168%",5.154,"0,0000"
2706,Fiji,FJI,1999,"2,90","94,2462%",7.761,"0,0000"
2707,Fiji,FJI,2000,"6,79","149,6855%",12.462,"0,0000"
2708,Fiji,FJI,2001,"9,94","185,7979%",15.632,"0,0000"
2709,Fiji,FJI,2002,"11,03","615,2650%",52.291,"0,0000"
2710,Fiji,FJI,2003,"13,46","672,5435%",57.725,"0,0000"
2711,Fiji,FJI,2004,"17,39","741,2943%",64.248,"0,0000"
2712,Fiji,FJI,2005,"24,95","845,3636%",73.963,"0,8520"
2713,Fiji,FJI,2006,"34,38","960,0039%",84.778,"1,0267"
2714,Fiji,FJI,2007,"63,39","1089,7831%",97.062,"1,3753"
2715,Fiji,FJI,2008,"70,98","1300,0000%",116.575,"1,5415"
2716,Fiji,FJI,2009,"74,97","1700,0000%",153.236,"1,5030"
2717,Fiji,FJI,2010,"81,17","2000,0000%",181.035,"2,7041"
2718,Fiji,FJI,2011,"84,20","2800,0000%",254.341,"2,6927"
2719,Fiji,FJI,2012,"99,28","3374,2355%",307.415,"1,5624"
2720,Fiji,FJI,2013,"107,49","3520,0001%",321.540,"1,2623"
2721,Fiji,FJI,2014,"101,12","3740,0002%",342.425,"1,4342"
2722,Fiji,FJI,2015,"111,20","4250,0000%",389.814,"1,4660"
2723,Fiji,FJI,2016,"119,75","4941,9998%",453.859,"1,4136"
2724,Fiji,FJI,2017,"117,83","6577,9999%",604.533,"1,3830"
2725,Fiji,FJI,2018,"114,89","6890,0002%",633.192,"2,1616"
2726,Fiji,FJI,2019,"115,74","0,0000%",0,"2,4107"
2727,Fiji,FJI,2020,"110,60","0,0000%",0,"2,5726"
2728,Finland,FIN,1980,"0,49","0,0000%",0,"0,0000"
2729,Finland,FIN,1981,"0,59","0,0000%",0,"0,0000"
2730,Finland,FIN,1982,"0,70","0,0000%",0,"0,0000"
2731,Finland,FIN,1983,"0,87","0,0000%",0,"0,0000"
2732,Finland,FIN,1984,"1,06","0,0000%",0,"0,0000"
2733,Finland,FIN,1985,"1,38","0,0000%",0,"0,0000"
2734,Finland,FIN,1986,"1,73","0,0000%",0,"0,0000"
2735,Finland,FIN,1987,"2,14","0,0000%",0,"0,0000"
2736,Finland,FIN,1988,"2,78","0,0000%",0,"0,0000"
2737,Finland,FIN,1989,"3,82","0,0000%",0,"0,0000"
2738,Finland,FIN,1990,"5,16","40,1088%",20.000,"0,0000"
2739,Finland,FIN,1991,"6,36","139,7439%",70.066,"0,0000"
2740,Finland,FIN,1992,"7,65","188,6880%",95.139,"0,0000"
2741,Finland,FIN,1993,"9,64","256,8461%",130.134,"0,0000"
2742,Finland,FIN,1994,"13,25","491,5099%",250.104,"0,0000"
2743,Finland,FIN,1995,"20,30","1390,0304%",710.019,"0,0000"
2744,Finland,FIN,1996,"29,24","1678,0075%",859.931,"0,0000"
2745,Finland,FIN,1997,"41,98","1945,8683%",1.000.165,"0,0000"
2746,Finland,FIN,1998,"55,11","2545,2524%",1.311.708,"0,0000"
2747,Finland,FIN,1999,"63,24","3229,5094%",1.668.203,"0,0000"
2748,Finland,FIN,2000,"71,87","3724,8463%",1.928.058,"0,6746"
2749,Finland,FIN,2001,"80,29","4310,5362%",2.236.309,"2,5767"
2750,Finland,FIN,2002,"86,64","6243,0000%",3.246.727,"5,2461"
2751,Finland,FIN,2003,"90,82","6922,0001%",3.608.432,"9,3953"
2752,Finland,FIN,2004,"95,15","7238,9999%",3.784.653,"15,2609"
2753,Finland,FIN,2005,"100,21","7448,0003%",3.907.273,"22,3277"
2754,Finland,FIN,2006,"107,44","7966,0004%",4.195.094,"27,0773"
2755,Finland,FIN,2007,"114,77","8077,9999%",4.272.207,"30,5225"
2756,Finland,FIN,2008,"128,40","8366,9998%",4.445.687,"30,4167"
2757,Finland,FIN,2009,"144,13","8248,9998%",4.403.987,"29,3059"
2758,Finland,FIN,2010,"156,36","8688,9999%",4.660.153,"29,0619"
2759,Finland,FIN,2011,"165,86","8870,9991%",4.779.848,"29,7957"
2760,Finland,FIN,2012,"172,12","8987,9997%",4.865.982,"30,4279"
2761,Finland,FIN,2013,"136,26","9151,4397%",4.977.352,"31,6272"
2762,Finland,FIN,2014,"139,21","8653,0396%",4.725.802,"32,1986"
2763,Finland,FIN,2015,"134,94","8642,2134%",4.735.464,"31,5610"
2764,Finland,FIN,2016,"131,33","8770,3651%",4.819.506,"31,1402"
2765,Finland,FIN,2017,"129,91","8746,8925%",4.817.916,"31,0268"
2766,Finland,FIN,2018,"129,47","8888,9961%",4.902.695,"31,4527"
2767,Finland,FIN,2019,"129,24","8960,7384%",4.947.707,"32,4828"
2768,Finland,FIN,2020,"128,50","9216,9998%",5.096.511,"33,3170"
2769,France,FRA,1980,"0,00","0,0000%",0,"0,0000"
2770,France,FRA,1981,"0,00","0,0000%",0,"0,0000"
2771,France,FRA,1982,"0,00","0,0000%",0,"0,0000"
2772,France,FRA,1983,"0,00","0,0000%",0,"0,0000"
2773,France,FRA,1984,"0,00","0,0000%",0,"0,0000"
2774,France,FRA,1985,"0,00","0,0000%",0,"0,0000"
2775,France,FRA,1986,"0,02","0,0000%",0,"0,0000"
2776,France,FRA,1987,"0,07","0,0000%",0,"0,0000"
2777,France,FRA,1988,"0,18","0,0000%",0,"0,0000"
2778,France,FRA,1989,"0,32","0,0000%",0,"0,0000"
2779,France,FRA,1990,"0,50","5,2778%",29.774,"0,0000"
2780,France,FRA,1991,"0,66","14,0114%",79.368,"0,0000"
2781,France,FRA,1992,"0,76","27,9049%",158.679,"0,0000"
2782,France,FRA,1993,"1,00","59,0619%",336.970,"0,0000"
2783,France,FRA,1994,"1,53","89,9867%",514.995,"0,0000"
2784,France,FRA,1995,"2,25","163,7947%",940.515,"0,0000"
2785,France,FRA,1996,"4,25","258,4034%",1.489.003,"0,0000"
2786,France,FRA,1997,"9,99","425,5004%",2.461.067,"0,0000"
2787,France,FRA,1998,"19,18","631,9779%",3.670.549,"0,0230"
2788,France,FRA,1999,"36,51","912,5318%",5.324.824,"0,0937"
2789,France,FRA,2000,"49,23","1430,7924%",8.393.809,"0,3331"
2790,France,FRA,2001,"62,30","2632,5903%",15.536.173,"1,0129"
2791,France,FRA,2002,"64,52","3018,0000%",17.918.706,"2,7674"
2792,France,FRA,2003,"69,21","3613,9999%",21.585.793,"5,9241"
2793,France,FRA,2004,"73,39","3915,0002%",23.532.454,"10,8093"
2794,France,FRA,2005,"78,68","4286,9999%",25.940.671,"15,4957"
2795,France,FRA,2006,"83,99","4686,9999%",28.552.806,"20,6653"
2796,France,FRA,2007,"89,48","6608,9996%",40.532.585,"25,4569"
2797,France,FRA,2008,"93,19","7068,0000%",43.624.406,"28,6614"
2798,France,FRA,2009,"92,61","7158,0002%",44.446.385,"31,7414"
2799,France,FRA,2010,"91,90","7727,9999%",48.257.161,"33,9331"
2800,France,FRA,2011,"94,61","7782,0000%",48.851.716,"35,9826"
2801,France,FRA,2012,"97,95","8144,0002%",51.365.359,"37,7256"
2802,France,FRA,2013,"99,11","8191,9800%",51.884.053,"39,0337"
2803,France,FRA,2014,"101,92","8375,0000%",53.255.365,"40,4542"
2804,France,FRA,2015,"103,46","7800,6035%",49.775.470,"41,6845"
2805,France,FRA,2016,"104,49","7926,9814%",50.724.215,"42,8035"
2806,France,FRA,2017,"106,44","8050,2457%",51.637.570,"43,9218"
2807,France,FRA,2018,"108,36","8204,3190%",52.735.567,"44,7758"
2808,France,FRA,2019,"110,61","8333,9745%",53.670.595,"45,6934"
2809,France,FRA,2020,"111,46","8480,0003%",54.679.086,"46,9210"
2810,French Polynesia,PYF,1980,"0,00","0,0000%",0,"0,0000"
2811,French Polynesia,PYF,1981,"0,00","0,0000%",0,"0,0000"
2812,French Polynesia,PYF,1982,"0,00","0,0000%",0,"0,0000"
2813,French Polynesia,PYF,1983,"0,00","0,0000%",0,"0,0000"
2814,French Polynesia,PYF,1984,"0,00","0,0000%",0,"0,0000"
2815,French Polynesia,PYF,1985,"0,00","0,0000%",0,"0,0000"
2816,French Polynesia,PYF,1986,"0,00","0,0000%",0,"0,0000"
2817,French Polynesia,PYF,1987,"0,00","0,0000%",0,"0,0000"
2818,French Polynesia,PYF,1988,"0,00","0,0000%",0,"0,0000"
2819,French Polynesia,PYF,1989,"0,00","0,0000%",0,"0,0000"
2820,French Polynesia,PYF,1990,"0,00","0,0000%",0,"0,0000"
2821,French Polynesia,PYF,1991,"0,00","0,0000%",0,"0,0000"
2822,French Polynesia,PYF,1992,"0,00","0,0000%",0,"0,0000"
2823,French Polynesia,PYF,1993,"0,00","0,0000%",0,"0,0000"
2824,French Polynesia,PYF,1994,"0,00","0,0000%",0,"0,0000"
2825,French Polynesia,PYF,1995,"0,53","0,0000%",0,"0,0000"
2826,French Polynesia,PYF,1996,"1,22","9,0972%",214,"0,0000"
2827,French Polynesia,PYF,1997,"2,39","21,4385%",512,"0,0000"
2828,French Polynesia,PYF,1998,"4,78","131,6165%",3.197,"0,0000"
2829,French Polynesia,PYF,1999,"9,28","344,8900%",8.513,"0,0000"
2830,French Polynesia,PYF,2000,"16,58","635,7064%",15.952,"0,0000"
2831,French Polynesia,PYF,2001,"27,48","625,1589%",15.945,"0,0102"
2832,French Polynesia,PYF,2002,"20,99","820,0216%",21.250,"0,0129"
2833,French Polynesia,PYF,2003,"23,78","1412,4293%",37.173,"0,3744"
2834,French Polynesia,PYF,2004,"37,50","1788,4537%",47.776,"1,7778"
2835,French Polynesia,PYF,2005,"46,37","2154,2185%",58.394,"4,2507"
2836,French Polynesia,PYF,2006,"58,24","2510,7964%",69.024,"6,9859"
2837,French Polynesia,PYF,2007,"66,55","2859,0000%",79.534,"8,9829"
2838,French Polynesia,PYF,2008,"70,87","3386,9999%",95.028,"10,4790"
2839,French Polynesia,PYF,2009,"78,51","4459,9998%",125.902,"11,3212"
2840,French Polynesia,PYF,2010,"81,02","4900,0000%",139.060,"12,1022"
2841,French Polynesia,PYF,2011,"83,24","4900,0000%",139.785,"13,4480"
2842,French Polynesia,PYF,2012,"84,61","5287,6629%",151.540,"14,9443"
2843,French Polynesia,PYF,2013,"90,04","5679,9999%",163.605,"16,6095"
2844,French Polynesia,PYF,2014,"93,90","6068,0000%",175.899,"18,3066"
2845,French Polynesia,PYF,2015,"98,25","6456,0211%",188.384,"19,0053"
2846,French Polynesia,PYF,2016,"102,02","6844,0422%",200.908,"20,1923"
2847,French Polynesia,PYF,2017,"104,25","7270,3896%",214.808,"20,8923"
2848,French Polynesia,PYF,2018,"109,00","0,0000%",0,"21,5321"
2849,French Polynesia,PYF,2019,"113,86","0,0000%",0,"22,1994"
2850,French Polynesia,PYF,2020,"119,26","0,0000%",0,"22,7833"
2851,Gabon,GAB,1980,"0,00","0,0000%",0,"0,0000"
2852,Gabon,GAB,1981,"0,00","0,0000%",0,"0,0000"
2853,Gabon,GAB,1982,"0,00","0,0000%",0,"0,0000"
2854,Gabon,GAB,1983,"0,00","0,0000%",0,"0,0000"
2855,Gabon,GAB,1984,"0,00","0,0000%",0,"0,0000"
2856,Gabon,GAB,1985,"0,00","0,0000%",0,"0,0000"
2857,Gabon,GAB,1986,"0,00","0,0000%",0,"0,0000"
2858,Gabon,GAB,1987,"0,00","0,0000%",0,"0,0000"
2859,Gabon,GAB,1988,"0,00","0,0000%",0,"0,0000"
2860,Gabon,GAB,1989,"0,00","0,0000%",0,"0,0000"
2861,Gabon,GAB,1990,"0,00","0,0000%",0,"0,0000"
2862,Gabon,GAB,1991,"0,00","0,0000%",0,"0,0000"
2863,Gabon,GAB,1992,"0,03","0,0000%",0,"0,0000"
2864,Gabon,GAB,1993,"0,12","0,0000%",0,"0,0000"
2865,Gabon,GAB,1994,"0,24","0,0000%",0,"0,0000"
2866,Gabon,GAB,1995,"0,37","0,0000%",0,"0,0000"
2867,Gabon,GAB,1996,"0,61","0,0000%",0,"0,0000"
2868,Gabon,GAB,1997,"0,83","4,7999%",566,"0,0000"
2869,Gabon,GAB,1998,"0,83","17,0125%",2.058,"0,0000"
2870,Gabon,GAB,1999,"0,74","24,9010%",3.090,"0,0000"
2871,Gabon,GAB,2000,"9,77","121,6141%",15.481,"0,0000"
2872,Gabon,GAB,2001,"11,92","134,7620%",17.608,"0,0000"
2873,Gabon,GAB,2002,"21,68","193,9530%",26.023,"0,0000"
2874,Gabon,GAB,2003,"22,73","265,9587%",36.660,"0,0129"
2875,Gabon,GAB,2004,"36,15","297,9070%",42.217,"0,0480"
2876,Gabon,GAB,2005,"52,98","489,3265%",71.362,"0,1100"
2877,Gabon,GAB,2006,"62,79","548,9201%",82.477,"0,1233"
2878,Gabon,GAB,2007,"79,38","576,7004%",89.376,"0,1347"
2879,Gabon,GAB,2008,"85,61","750,0000%",119.999,"0,1449"
2880,Gabon,GAB,2009,"92,42","950,0000%",157.087,"0,2356"
2881,Gabon,GAB,2010,"99,13","1300,0000%",222.445,"0,2513"
2882,Gabon,GAB,2011,"140,70","1800,0000%",319.051,"0,2671"
2883,Gabon,GAB,2012,"146,18","2400,0000%",440.811,"0,2858"
2884,Gabon,GAB,2013,"151,08","3053,8033%",580.904,"0,4898"
2885,Gabon,GAB,2014,"155,68","3807,1209%",748.807,"0,5733"
2886,Gabon,GAB,2015,"144,87","4578,4538%",928.750,"0,5690"
2887,Gabon,GAB,2016,"147,54","4805,2273%",1.002.471,"0,7480"
2888,Gabon,GAB,2017,"128,98","5032,0122%",1.076.964,"0,7142"
2889,Gabon,GAB,2018,"138,28","5959,9998%",1.306.440,"0,9950"
2890,Gabon,GAB,2019,"137,75","6100,0000%",1.368.101,"1,1220"
2891,Gabon,GAB,2020,"137,01","6200,0000%",1.421.401,"2,0041"
2892,Gambia,GMB,1980,"0,00","0,0000%",0,"0,0000"
2893,Gambia,GMB,1981,"0,00","0,0000%",0,"0,0000"
2894,Gambia,GMB,1982,"0,00","0,0000%",0,"0,0000"
2895,Gambia,GMB,1983,"0,00","0,0000%",0,"0,0000"
2896,Gambia,GMB,1984,"0,00","0,0000%",0,"0,0000"
2897,Gambia,GMB,1985,"0,00","0,0000%",0,"0,0000"
2898,Gambia,GMB,1986,"0,00","0,0000%",0,"0,0000"
2899,Gambia,GMB,1987,"0,00","0,0000%",0,"0,0000"
2900,Gambia,GMB,1988,"0,00","0,0000%",0,"0,0000"
2901,Gambia,GMB,1989,"0,00","0,0000%",0,"0,0000"
2902,Gambia,GMB,1990,"0,00","0,0000%",0,"0,0000"
2903,Gambia,GMB,1991,"0,00","0,0000%",0,"0,0000"
2904,Gambia,GMB,1992,"0,02","0,0000%",0,"0,0000"
2905,Gambia,GMB,1993,"0,04","0,0000%",0,"0,0000"
2906,Gambia,GMB,1994,"0,07","0,0000%",0,"0,0000"
2907,Gambia,GMB,1995,"0,13","0,9218%",114,"0,0000"
2908,Gambia,GMB,1996,"0,27","3,5507%",454,"0,0000"
2909,Gambia,GMB,1997,"0,39","5,1311%",676,"0,0000"
2910,Gambia,GMB,1998,"0,41","20,6094%",2.795,"0,0000"
2911,Gambia,GMB,1999,"0,42","71,5827%",9.997,"0,0000"
2912,Gambia,GMB,2000,"0,42","92,1795%",13.251,"0,0000"
2913,Gambia,GMB,2001,"4,05","133,6791%",19.777,"0,0000"
2914,Gambia,GMB,2002,"7,12","179,6780%",27.351,"0,0000"
2915,Gambia,GMB,2003,"10,30","243,6781%",38.166,"0,0000"
2916,Gambia,GMB,2004,"11,69","330,8003%",53.333,"0,0024"
2917,Gambia,GMB,2005,"16,03","379,9001%",63.078,"0,0046"
2918,Gambia,GMB,2006,"25,41","523,7691%",89.632,"0,0000"
2919,Gambia,GMB,2007,"48,81","620,5038%",109.512,"0,0164"
2920,Gambia,GMB,2008,"69,03","688,0000%",125.253,"0,0178"
2921,Gambia,GMB,2009,"75,44","763,0000%",143.301,"0,0172"
2922,Gambia,GMB,2010,"82,44","920,0000%",178.230,"0,0195"
2923,Gambia,GMB,2011,"75,81","1087,0300%",217.212,"0,0236"
2924,Gambia,GMB,2012,"80,11","1244,9228%",256.581,"0,0262"
2925,Gambia,GMB,2013,"94,15","1400,0000%",297.483,"0,0223"
2926,Gambia,GMB,2014,"112,83","1556,0000%",340.612,"0,1355"
2927,Gambia,GMB,2015,"130,19","1820,0001%",410.071,"0,1713"
2928,Gambia,GMB,2016,"132,06","2140,0000%",495.883,"0,1745"
2929,Gambia,GMB,2017,"133,97","2510,0000%",597.678,"0,1807"
2930,Gambia,GMB,2018,"139,53","3259,9998%",797.043,"0,1944"
2931,Gambia,GMB,2019,"110,10","3450,0000%",865.564,"0,2130"
2932,Gambia,GMB,2020,"110,81","3650,0000%",939.512,"0,2069"
2933,Georgia,GEO,1980,"0,00","0,0000%",0,"0,0000"
2934,Georgia,GEO,1981,"0,00","0,0000%",0,"0,0000"
2935,Georgia,GEO,1982,"0,00","0,0000%",0,"0,0000"
2936,Georgia,GEO,1983,"0,00","0,0000%",0,"0,0000"
2937,Georgia,GEO,1984,"0,00","0,0000%",0,"0,0000"
2938,Georgia,GEO,1985,"0,00","0,0000%",0,"0,0000"
2939,Georgia,GEO,1986,"0,00","0,0000%",0,"0,0000"
2940,Georgia,GEO,1987,"0,00","0,0000%",0,"0,0000"
2941,Georgia,GEO,1988,"0,00","0,0000%",0,"0,0000"
2942,Georgia,GEO,1989,"0,00","0,0000%",0,"0,0000"
2943,Georgia,GEO,1990,"0,00","0,0000%",0,"0,0000"
2944,Georgia,GEO,1991,"0,00","0,0000%",0,"0,0000"
2945,Georgia,GEO,1992,"0,00","0,0000%",0,"0,0000"
2946,Georgia,GEO,1993,"0,00","0,0000%",0,"0,0000"
2947,Georgia,GEO,1994,"0,00","0,0000%",0,"0,0000"
2948,Georgia,GEO,1995,"0,00","1,1837%",577,"0,0000"
2949,Georgia,GEO,1996,"0,05","4,0065%",1.908,"0,0000"
2950,Georgia,GEO,1997,"0,64","6,0930%",2.827,"0,0000"
2951,Georgia,GEO,1998,"1,31","10,2831%",4.646,"0,0000"
2952,Georgia,GEO,1999,"2,99","41,6344%",18.296,"0,0000"
2953,Georgia,GEO,2000,"4,46","48,4746%",20.675,"0,0000"
2954,Georgia,GEO,2001,"7,01","99,2344%",41.128,"0,0100"
2955,Georgia,GEO,2002,"11,83","158,7876%",64.486,"0,0216"
2956,Georgia,GEO,2003,"16,78","255,8816%",102.809,"0,0333"
2957,Georgia,GEO,2004,"19,89","388,6221%",155.016,"0,0450"
2958,Georgia,GEO,2005,"27,89","607,9458%",240.818,"0,0568"
2959,Georgia,GEO,2006,"40,67","752,6877%",296.097,"0,6444"
2960,Georgia,GEO,2007,"62,39","826,0000%",322.675,"1,1216"
2961,Georgia,GEO,2008,"66,51","1001,0000%",388.358,"2,7067"
2962,Georgia,GEO,2009,"68,87","2007,0000%",773.739,"3,6412"
2963,Georgia,GEO,2010,"97,05","2690,0000%",1.032.108,"4,4505"
2964,Georgia,GEO,2011,"108,56","3152,0000%",1.204.589,"6,0893"
2965,Georgia,GEO,2012,"115,61","3693,9999%",1.405.330,"11,3937"
2966,Georgia,GEO,2013,"123,33","4329,9999%",1.639.349,"12,7678"
2967,Georgia,GEO,2014,"133,84","4400,0000%",1.660.662,"14,8892"
2968,Georgia,GEO,2015,"137,93","4756,9759%",1.793.920,"15,7956"
2969,Georgia,GEO,2016,"137,76","5845,9290%",2.204.565,"16,9604"
2970,Georgia,GEO,2017,"137,26","5970,5505%",2.252.034,"19,3625"
2971,Georgia,GEO,2018,"136,38","6271,7907%",2.365.922,"21,4169"
2972,Georgia,GEO,2019,"134,66","6884,6703%",2.596.081,"23,4465"
2973,Georgia,GEO,2020,"127,85","7253,1586%",2.731.476,"24,3701"
2974,Germany,DEU,1980,"0,00","0,0000%",0,"0,0000"
2975,Germany,DEU,1981,"0,00","0,0000%",0,"0,0000"
2976,Germany,DEU,1982,"0,00","0,0000%",0,"0,0000"
2977,Germany,DEU,1983,"0,00","0,0000%",0,"0,0000"
2978,Germany,DEU,1984,"0,00","0,0000%",0,"0,0000"
2979,Germany,DEU,1985,"0,00","0,0000%",0,"0,0000"
2980,Germany,DEU,1986,"0,03","0,0000%",0,"0,0000"
2981,Germany,DEU,1987,"0,06","0,0000%",0,"0,0000"
2982,Germany,DEU,1988,"0,13","0,0000%",0,"0,0000"
2983,Germany,DEU,1989,"0,21","0,0000%",0,"0,0000"
2984,Germany,DEU,1990,"0,34","12,5892%",99.921,"0,0000"
2985,Germany,DEU,1991,"0,67","25,0274%",199.724,"0,0000"
2986,Germany,DEU,1992,"1,22","43,5285%",349.121,"0,0000"
2987,Germany,DEU,1993,"2,21","46,3635%",373.567,"0,0000"
2988,Germany,DEU,1994,"3,08","92,2541%",746.171,"0,0000"
2989,Germany,DEU,1995,"4,59","183,7738%",1.490.833,"0,0000"
2990,Germany,DEU,1996,"6,78","305,4805%",2.483.583,"0,0000"
2991,Germany,DEU,1997,"10,17","671,1088%",5.465.248,"0,0000"
2992,Germany,DEU,1998,"17,09","987,7852%",8.052.858,"0,0000"
2993,Germany,DEU,1999,"28,81","2084,5984%",17.001.352,"0,0000"
2994,Germany,DEU,2000,"59,22","3021,6347%",24.641.938,"0,3255"
2995,Germany,DEU,2001,"68,91","3165,0940%",25.800.127,"2,5781"
